Average Seek Time,Battery Capacity,Bus Speed,Cable Length,Cache Memory,Clock Speed,Data Transfer Rate,Height,Input,Length,Memory,Memory Speed,Memory Type,Output Voltage,Power Supply,Price,Reading Speed,Rotational Speed,Screen Size,Storage Capacity,Warranty,Weight,Width,Writing Speed,Resolution
,,55 MHz,5.0 m, L2 Advanced Smart Cache - 4 MB,1.73 GHz,,25.4 mm,100-240V ~1.2A,7.3 cm,,,DDR3L,,,,,,,0.064 TB,,23.50 g,60.00 mm,,400 dpi
,,200 MHz,1.5 m,L3 2 MB,1.5 GHz,,26.1 mm,50/60Hz,10.02 cm,,,DDR3 (PC3-10600),,,,,,,0.016 TB,,24.00 g,60.96 mm,,320*240 (Pixel)
,,,1.8 m,,2.20 GHz,,26.11 mm,230V AC - 50 / 60 Hz.,10.04 cm,,,DDR SDRAM,,,,,,,0.000016 TB,,24.10 g,61.08 mm,,Optimal: 1600 x 900
,,,119.9896 m,,3.50 GHz,,26.5 mm,100-240V,10.2 cm,,,DDR4 PC4-24000,,,,,,,18.2GB,,24.95 g,62.00 mm,,5.0MP
,,,2.4 m,,2.40 GHz,,27.94 mm,2.5A,14.7 cm,,,DDR3 (PC3-19200),,,,,,,0.0182 TB,,25.00 g,62.30 mm,,854 x 480
,,,3.048 m,,2.83 GHz,,28 mm,50/60 HZ,15 cm,,,Support DDR3,,,,,,,0.18 TB,,25.90 g,63.50 mm,,2
,,,142.0114 m,,2.0,,28.5 mm,100-240V ~1.0A,15.5 cm,,,EEPROM,,,,,,,,,26.00 g,63.70 mm,,400dpi (2
,,,4.2672 m,,2.13 GHz,,30 mm,50/60Hz,17.5 cm,,,non-volatile memory (X-keys retains memory for over 200 years),,,,,,,0.018 TB,,26.08 g,66.00 mm,,400 x 600dpi)
,,,0.9 m,,2.4 GHz,,30.48 mm,100-240V~3.0A,17.98 cm,,,DDR4 SDRAM - LRDIMM 288-pin,,,,,,,0.001 TB,,27.00 g,66.04 mm,,600 x 600dpi
,,,0.9144 m,,0.45 GHz,,32 mm,50 / 60Hz,20 cm,,,DDR4 RDIMM,,,,,,,1 TB,,27.21 g,68.00 mm,,500-1500-2000-3500 DPI
,,,1.20 m,,2.40 GHz,,33 mm,AC 100-240V,25.5 cm,,,GDDR5,,,,,,,1 TB,,27.75 g,68.58 mm,,1200x1200 - 4-bit
,,,15.0 m,,1.4 GHz,,33.02 mm,100-240V ~ 2.0A,26 cm,,,DDR5,,,,,,,0.002 TB,,28.00 g,69.00 mm,,720p
,,,3.048 m,,3.0 GHz,,33.7 mm,50/60Hz,30 cm,,,DDR SO-DIMM,,,,,,,2 TB,,28.13 g,69.85 mm,,4
,,,150 m,,3.9 GHz,,34.16 mm,100-240V~1.8A,40 cm,,,DDR4 (PC4-25600),,,,,,,0.000064 TB,,28.92 g,71.12 mm,,800 x 600 dpi
,,,0.80 m,,1.80 GHz,,35 mm,50 / 60Hz,45.7 cm,,,DDR3 (PC3-14900),,,,,,,2 TB,,29.00 g,73.00 mm,,2560 x 1600 (digital)
,,,305 m,,2.20 GHz,,35.56 mm,DC 12-24V,45.72 cm,,,DDR4 SDRAM - DIMM 288-pin,,,,,,,2.0  TB,,30.00 g,73.66 mm,,8.0MP / Video: 2560 x 1440p30 fps
,,,0.6096 m,,2.50 GHz,,37 mm,AC 100-240V,50 cm,,,DDR3 SDRAM,,,,,,,0.2  TB,,30.05 g,73.91 mm,,1440 x 900 WXGA+
,,,1.15 m,,1.6 GHz,,37.3 mm,50-60Hz (worldwide use),60 cm,,,,,,,,,,2 TB,,30.10 g,76.00 mm,,DVI Max Resolution 2560x1600
,,,30 m,,3.50 GHz,,37.8 mm,Micro USB Charge 5V,91.44 cm,,,,,,,,,,0.2 TB,,31.00 g,76.20 mm,,600 x 600dpi
,,,14 m,,1.86 GHz,,38.1 mm,100-240V ~2.0A,100 cm,,,,,,,,,,0.02 TB,,32.00 g,78.74 mm,,HQ1200 (2400 x 600dpi)
,,,0.82 m,,3.2 GHz,,40.2 mm,50/60Hz,116 cm,,,,,,,,,,24  TB,,33.00 g,80.10 mm,,2540 dpi
,,,5 m,,1.13 GHz,,40.64 mm,DC 5V 1A,152.4 cm,,,,,,,,,,0.24  TB,,34.87 g,81.28 mm,,HD
