Brand,Interface,Model,"Portable Memory (Pen, Memory Card...)",Processor,Material,Condition,Memory Speed,Screen Size,Operating System,Output Voltage,Battery Capacity,Storage Capacity,UPC,Color,Power Supply,Security,Memory,Graphics Card,Data Transfer Rate,Warranty,Category,Clock Speed,Compliant Standards,Cable Length,Input,Cache Memory,RAID Level,Processor Socket,Data Link Protocol,Battery Type,Processor Core,Average Seek Time,Rotational Speed,Weight,Generation,Product Type,Country of Origin,EAN,Memory Type,Reading Speed,Writing Speed,SKU,Resolution
add-on computer peripherals (acp),auto-MD/MDIX ports,177986-001,SDSDQUA-064G-U46A,AMD A10,ceramic glass,,,10.1,Compaq Tru64 Unix - DEC OpenVMS,,5600mAh,1200GB,633077399830,Dark Silver,Standard ATX PS2 / EPS 12V,Key Lock,Intel NAND,Radeon Pro 455,110Gbps,Satisfaction Guarantee,,2 GHz,FCC and CE,0.5m,100-240V,2x2MB Level 2 cache,N/A,Socket PGA-604,Fast Ethernet,,,4.9ms,,13.93 oz / 395 g,,Intel Xeon,,0814914020586,DDR4 (PC4-21300),10M/S,20 MBps,OS3380OLW8KHKBOX,440 pixels
addonics,80pin SCA-2,180726-003,SDSDUNC,AMD Athlon II,copper alloy,,,21.5,FreeDOS 2.0(64-Bit),,5800mAh,128GB,039517583355,silver aluminum,870W RPS,Kensington Security Slot,4 GB flash,AMD RadeonPro 460,1000Gbps,Phone consulting,,80MHz,Cat. 5,3 m [10 ft],1.5A,2x4MB Level 2 cache,0 1 5 10 50 JBOD,45nm,,,,9.5ms,,7.69oz / 218 g,,Keyboard,,4713147233199,GDDR3,12MB / sec,6-7MB/sec,20ER003PMH,1366 x 768
adesso,SATA 6.0 Gbps,180732-002,SDSDXXG-064G-CNCIN,AMD Phenom II,copper base,,,8,Genuine Windows 7 Professional 64-bit,,6600mAh,128MB,841269051026,Coffee Brown,1 x 180W,SSL,2GB RAM,Intel HD Graphics 6000,144 kbit/s,Advanced Replacement,,2.1GHz,Energy Star 5.0,144 inch,50/60Hz,32MB,0 1 5 10 50 1+0 5+0,Socket G34 LGA-1974,,,,8.5ms,,0.19 oz / 5.3 g,,Notebook carrying backpack,,8716065331769,DDR3L SDRAM - SO-DIMM 204-pin,,,76814G,300 x 300 dpi
adobe,ATA,187232-001,Sandisk X300,AMD Sempron,copper plexi,,,7,Genuine Windows 7 Ultimate,,2600mAh,146 GB,886227083664,Green,2 x AAA Batteries,tor,2GB,Intel UHD Graphics620,5 kbit/s,,,3.33GHz,UL/cUL,3.9 (1.2 m),100-240V,32MB DRAM,RAID 0 1 5 10,Socket PGA-478,,,,7.6ms,,< 0.4 oz / 10.0 g,,Internal Solid State Drive,,0889899054918,PC2-3200 DDR2,,,855S-500,Up to 600 x 600dpi
advance,Bluetooth,194989-001,Seagate Expansion 4TB Portable,AMD A9,cotton canvas,,,21.5,Genuine Windows 7 Professional,,8800 mAh,146.8GB,740617271874,Aqua Blue,5V/1A EU PSU,biometrics,2GB DDR,Radeon Pro 555,144 kbps,,,3.16GHz,CB,1.0m,1.5A,48MB,0 1 3 5 6 10 50,Socket FM2,,,,4ms,,Aer RGB120: 183g,,Wireless Router,,0065030838511,DDR2 SO-DIMM,,,6235AN.HMWWB,1600 x 900
advanced cable technology,Bluetooth 3.0,194989-002,Seagate Expansion portable drive 2TB,AMD Ryzen 7,cut resistant galvanized steel cable with clear vinyl coating,,,22,Genuine Windows 7 Home Premium,,4400mah,146GB,15671011848 (White) 15671011855 (Black),Dark Gray,150W,Kerberos,,ATI Radeon HD 5770 Series Graphics,,,,1.4 GHz,CE,7feet,100-240VAC 0.5A 50-60Hz,4MB,1,Socket LGA-2011-v3,,,,,,720 g,,Network Interface Card,,0132017613727,,,,6235ANHMW,1680 x 1050 pixels
aedle,Bluetooth 4.0,216108-001,TC112GFD,ARM 9,die-cast zinc,,,15.6,Mac OS X,,7200mAh,147GB,802700504501,Black Green,12 VDC,ipsec,,NVIDIA QuadroM2000,,,,2.9GHz,EuP,0.3 m [1 ft],100-240V ~1.0-0.6A,4MB L2,1 ADM,Socket AM3 PGA-938,,,,,,14.55 lbs,,SAS Controller,,0526920511537,DDR4 SDRAM - SO-DIMM 260-pin,,,6235ANHMWWB,Up to 9
aeg,PCIe 3.0,225011-001,USM16CA1,Apple A4,dobby (woven) nylon,,,14,Mac OS X 10.10 Yosemite,,4800mAh,14GB,192018045668,Black,12V,tsl,,ATI Radeon HD 5670 Graphics,,,,8 MHz,CEL,0.3m,50/60Hz,4MB L2 Cache,5,Socket LGA-2011,,,,,,270 Grams,,Replacement Battery,,0650308385110,LPDDR3SDRAM,,,10FH004UMB,600 x 2
aerocool,DVI-I,225075-001,Ultra-32GB,Atheros AR9331,dupont teflon,,,9.7,Mac OS X 10.6,,30000mAh,1500GB,841269029667,Metallic,9A,,, Intel Iris Pro,,,,2.26GHz,FCC,1m,100-240V~2.5A,4MB L3 Cache,6 ADG,Socket J LGA-771,,,,,,8.3kg,,Processor (Low Voltage),,5054629313671,Fully Buffered Dimm,,,NX.VBPEH.003,400 dpi
agfaphoto,DVI-D,228509-001,,Broadcom,ethylene vinyl acetate,,,10.1,Mac OS X 10.6 Snow Leopard,,7800mAh,16GB,763649005828,Gold,240W,,,Intel HD Graphics 615,,,,1.26GHz,CCC,145 cm / 57.09 ,50 / 60Hz,4MB L3 cache - Advanced Transfer Cache,10,Socket G34 LGA-1944,,,,,,4.9 oz / 139 g,,Processor Kit,,5238056938700,DDR3 ECC,,,RL6105,2048*1536 IPS
ahanix,HDMI,230993-001,,Core i3,faux-fur,,,23.6,Mac OS X 10.7 Lion(64-Bit),,,16TB,011540961379,Transparent Purple,AC adapter ,,,Dual AMD FirePro D500,,,,3.5GHz,BSMI,30.48 cm,100-240V~1.8-0.6A,512 KB L2 cache - Advanced Transfer,50,Socket LGA-1155,,,,,,0.28 kg,,Network Cable CAT5e,,4038489019837,DDR4 PC4-19200,,,PT571E-01J003DU,1920 x 1080
akasa,Display-Port,236845-001,,Dual-Core C-50,fibre-glass reinforced polyamide,,,,Mac OS X 10.8 Mountain Lion,,,16 TB (2 x 8 TB),031113286937,Gray Black,1 x 130W,,,AMD RadeonRX 480,,,,1.90GHz,Gost-R,1.83m,50 / 60Hz,512MB,60,Socket AM3+,,,,,,570g,,Proessor Upgrade,,8716065224375,DDR4 PC4-21300,,,C11C679001A0,7680\u2009×\u20094320 @ 60Hz (Digital)1
alawar,CFast 2.0,237046-001,,Intel N2800,forged copper 1100,,,,Mac OS X 10.8 Mountain Lion(64-Bit),,,16 TB (4 x 4 TB),818313018113,Grey White, Laminated Cell,,,AMD Radeon R9 M390,,,,3.00GHz,C-Tick,0.02m,100-240V ~1.8A,512MB (1 x 512MB),RAID 0 1 5 6 10 50 60,Socket PGA-370,,,,,,14.29 oz / 405 g,,Memory Cartridge,,6925970710077,DDR4,,,C11C679001A3,1280x800 (WXGA)
alcasa,SATA 3.1,241729-B21,,IntelCore i3,fr4,,,,Mac OS X El Capitan,,,160GB,757120837701, Black Blue,1 x 550W Hot Plug Redundant,,,IntelIris Plus Graphics 640,,,,1.80GHz,VCCI,1.8 m [6 ft],50/60Hz,512MB Read/Write,0,FCLGA-2011,,,,,,11.91 lbs,,Projector Lamp,,8718722117822,DDR,,,20F90057MB,1600 x 900 native
alcatel,DMA/ATA-133,241843-001,,ARM Cortex,full grain cow nappa leather,,,,Mac OS X Lion,,,16GB,841710104899,Yellow,2 x AA Batteries,,,Nvidia RTX 3080,,,,2.6GHz,PSB,:1.0 - 2.0 m,DC 5V / 500MA,64MB,10,FCLGA-1356,,,,,,2.2 lb (1.0 kg),,FIO Processor Kit,,8718226224651,DDR3L SO-DIMM,,,INFD16GBSPLP,600x600 dpi
alecto,Ethernet 10GBase-T,243406-001,,RealTek RTD1195PN,glass,,,,Mac OS X Mountain Lion,,,16GB (2 x 8GB),801940483591,Orange,5V,,,,,,,3.40 GHz,J-MOSS,16.4 / 5.0m,12-24V DC,8 MB L3 cache - Advanced Transfer Cache,0,Socket PGA-939,,,,,,2.13KG,,Memory Kit,,5397063894598,DDR4 SDRAM,,,MONGG2RCA,Up to 4
